Latitude,Longitude,Elevation
42.70179000,18.04207000,19.0
42.70177000,18.04199000,18.0
42.70173000,18.04192000,17.0
42.70171000,18.04184000,15.0
42.70167000,18.04177000,14.0
42.70165000,18.04169000,13.0
42.70163000,18.04159000,12.0
42.70162000,18.04150000,12.0
42.70160000,18.04142000,11.0
42.70158000,18.04134000,11.0
42.70156000,18.04126000,11.0
42.70154000,18.04118000,11.0
42.70152000,18.04111000,10.0
42.70150000,18.04105000,10.0
42.70148000,18.04099000,10.0
42.70146000,18.04092000,10.0
42.70144000,18.04086000,10.0
42.70142000,18.04080000,10.0
42.70139000,18.04075000,10.0
42.70137000,18.04070000,10.0
42.70134000,18.04064000,10.0
42.70131000,18.04059000,10.0
42.70128000,18.04054000,10.0
42.70125000,18.04049000,10.0
42.70123000,18.04043000,10.0
42.70120000,18.04038000,10.0
42.70117000,18.04033000,10.0
42.70114000,18.04026000,10.0
42.70110000,18.04022000,10.0
42.70104000,18.04014000,10.0
42.70101000,18.04010000,10.0
42.70094000,18.04001000,10.0
42.70091000,18.03997000,10.0
42.70087000,18.03993000,10.0
42.70083000,18.03988000,10.0
42.70078000,18.03984000,10.0
42.70074000,18.03979000,11.0
42.70069000,18.03975000,11.0
42.70065000,18.03970000,12.0
42.70060000,18.03967000,12.0
42.70055000,18.03963000,12.0
42.70050000,18.03961000,12.0
42.70046000,18.03957000,12.0
42.70042000,18.03953000,12.0
42.70037000,18.03949000,12.0
42.70033000,18.03945000,11.0
42.70027000,18.03943000,11.0
42.70021000,18.03940000,11.0
42.70016000,18.03937000,12.0
42.70011000,18.03934000,12.0
42.70006000,18.03932000,13.0
42.70002000,18.03930000,13.0
42.69997000,18.03927000,13.0
42.69992000,18.03924000,14.0
42.69987000,18.03920000,15.0
42.69979000,18.03915000,15.0
42.69975000,18.03913000,16.0
42.69967000,18.03909000,16.0
42.69962000,18.03907000,15.0
42.69954000,18.03904000,15.0
42.69949000,18.03903000,14.0
42.69942000,18.03903000,13.0
42.69937000,18.03903000,12.0
42.69932000,18.03901000,11.0
42.69927000,18.03900000,10.0
42.69919000,18.03897000,9.0
42.69913000,18.03895000,9.0
42.69905000,18.03892000,9.0
42.69901000,18.03890000,9.0
42.69896000,18.03888000,10.0
42.69891000,18.03887000,10.0
42.69882000,18.03885000,11.0
42.69878000,18.03885000,11.0
42.69869000,18.03886000,12.0
42.69865000,18.03886000,13.0
42.69857000,18.03886000,13.0
42.69851000,18.03887000,13.0
42.69846000,18.03888000,13.0
42.69842000,18.03890000,13.0
42.69834000,18.03894000,13.0
42.69829000,18.03897000,12.0
42.69824000,18.03900000,12.0
42.69817000,18.03904000,12.0
42.69811000,18.03907000,12.0
42.69806000,18.03911000,11.0
42.69800000,18.03915000,12.0
42.69793000,18.03919000,13.0
42.69786000,18.03923000,14.0
42.69779000,18.03927000,15.0
42.69773000,18.03931000,15.0
42.69766000,18.03934000,15.0
42.69761000,18.03937000,15.0
42.69754000,18.03939000,16.0
42.69747000,18.03941000,16.0
42.69739000,18.03942000,16.0
42.69731000,18.03943000,16.0
42.69722000,18.03940000,16.0
42.69715000,18.03938000,15.0
42.69707000,18.03936000,15.0
42.69699000,18.03931000,14.0
42.69691000,18.03926000,14.0
42.69681000,18.03922000,13.0
42.69674000,18.03917000,12.0
42.69666000,18.03912000,11.0
42.69661000,18.03906000,11.0
42.69654000,18.03900000,10.0
42.69647000,18.03894000,9.0
42.69642000,18.03888000,8.0
42.69635000,18.03884000,8.0
42.69628000,18.03880000,8.0
42.69622000,18.03876000,8.0
42.69616000,18.03872000,7.0
42.69608000,18.03871000,7.0
42.69605000,18.03867000,7.0
42.69599000,18.03866000,7.0
42.69593000,18.03866000,7.0
42.69587000,18.03868000,7.0
42.69581000,18.03870000,7.0
42.69575000,18.03873000,7.0
42.69569000,18.03878000,6.0
42.69563000,18.03883000,6.0
42.69557000,18.03887000,6.0
42.69551000,18.03892000,7.0
42.69547000,18.03899000,8.0
42.69542000,18.03906000,9.0
42.69538000,18.03914000,10.0
42.69534000,18.03922000,10.0
42.69531000,18.03931000,11.0
